Tweets,len,ID,Date,Source,Likes,RTs
"@EmiratesSupport Hi!
What is going on with the US and Iran. Will the connection flights from DXB to Asia be affecte… https://t.co/Ea2PFJGQXb",140,1130588140455026688,2019-05-20 21:36:32,Twitter for iPhone,0,0
"@EmiratesSupport hello, I am migrating to Australia soon and was wondering if I can take my AV-receiver on board as… https://t.co/Ir7qzjlKZu",140,1130582266936266752,2019-05-20 21:13:12,Twitter for Android,0,0
hey @EmiratesSupport! Is there any easy way to see if there’s a specific tv show or film on ice online. i can see t… https://t.co/CfrblhCyRJ,140,1130573210540478464,2019-05-20 20:37:13,Twitter for iPhone,0,0
@EmiratesSupport is it possible to get champagne on board?,58,1130569534233034752,2019-05-20 20:22:36,Twitter Web App,0,0
.@EmiratesSupport Flew today in Economy on EK8 from LHR to DXB and paid for the premium $15.99 WiFi. It was awful!… https://t.co/0uRCvbriD9,139,1130554261824258049,2019-05-20 19:21:55,Twitter for iPad,0,0
"@EmiratesSupport Thanks! As a suggestion, maybe could you start with BTS, and their new album Map of the Soul : Per… https://t.co/Jn1hKCbHIR",140,1130544347043258372,2019-05-20 18:42:31,Twitter for iPhone,0,0
"Next week, my friend, colleague and all round good guy @UTCW_MrV heads to Uganda to raise awareness of… https://t.co/fa3RfzyVNh",127,1130540924570865664,2019-05-20 18:28:55,Twitter for iPhone,4,3
"@EmiratesSupport how often do you update music on ICE? It would be great to see more kpop bands like BTS, BKACKPINK… https://t.co/DjmX2jEd6x",140,1130532881808482310,2019-05-20 17:56:57,Twitter for iPhone,0,0
My poor brother who is on the autism spectrum was ill and vomited before the flight and not only did they throw the… https://t.co/p2LDgrE35A,140,1130525612869902336,2019-05-20 17:28:04,Twitter for Android,1,0
@EmiratesSupport hi both my wife and I just created a family reward group with our 3 children.Upcoming trip Dublin… https://t.co/WE0wQfeYAm,139,1130523024661393408,2019-05-20 17:17:47,Twitter for Android,0,0
"@EmiratesSupport Hi Emirates, extremely disappointed with your flights and customer seevice. Currently onboard a te… https://t.co/Z06i2ALfY3",140,1130514095617269762,2019-05-20 16:42:18,Twitter for iPhone,0,0
@nytimes @NASA_TV @emirates @Emirates247 @EmiratesSupport @JumeirahET @LATAM_CHI @latercera Visit… https://t.co/DoBOE3VPoS,122,1130508762719166465,2019-05-20 16:21:07,Twitter Web Client,0,0
@Justine_Hamer @EmiratesSupport Hi did u find your luggage. I'm in the same situation.,86,1130487916449284096,2019-05-20 14:58:17,Twitter for Android,0,0
@EmiratesSupport Thanks looking forward to getting feedback on my lost luggage.,79,1130486956213714944,2019-05-20 14:54:28,Twitter for Android,0,0
@EmiratesSupport how can I send to you an email to ask for support? or write with you on Twitter in private?,108,1130464054026407936,2019-05-20 13:23:28,Twitter Web Client,0,0
.@emirates @EmiratesSupport making me book a whole new flight instead of doing a simple surname correction as I boo… https://t.co/wX09vMuNkb,140,1130448910441484288,2019-05-20 12:23:17,Twitter for iPhone,2,0
"@EmiratesSupport Perfect, thank you.",36,1130442545270525953,2019-05-20 11:58:00,Twitter for iPhone,0,0
@EmiratesSupport Thanks.,24,1130437378412294144,2019-05-20 11:37:28,Twitter for Android,0,0
How can you not be impressed by all work @UTCW_MrV is doing for young people in Warrington and in Uganda? @emirates… https://t.co/sSnntYADLl,140,1130429607105187841,2019-05-20 11:06:35,Twitter for iPhone,5,3
@EmiratesSupport Done!,22,1130427612772360195,2019-05-20 10:58:39,Twitter for iPhone,0,0
"Amazing work, Mr Varey! Lots of trainers and shoes heading to the children of Uganda thanks to this excellent fundr… https://t.co/nHpD5cuNZ4",140,1130426557540032512,2019-05-20 10:54:28,Twitter Web Client,3,1
On 25.5.19 I will be flying to Uganda with @emirates @EmiratesSupport and running the Uganda Marathon. I have colle… https://t.co/GVXj3QsCrD,140,1130420011544305666,2019-05-20 10:28:27,Twitter for iPhone,6,4
@EmiratesSupport hi when travelling to Abu Dhabi who can I speak to about if I need proof for what drugs I'm taking I to Abu Dhabi?,131,1130416798870974466,2019-05-20 10:15:41,Twitter for Android,0,0
@EmiratesSupport what do you mean by DM,39,1130411601792647170,2019-05-20 09:55:02,Twitter for Android,0,0
"@EmiratesSupport يرجى التأكد من private message و 
و شكراً",58,1130406514424983552,2019-05-20 09:34:49,Twitter for iPhone,0,0
@EmiratesSupport Hi! I have a scale of 7.5h in Dubai.  Is there a maximum time to stay in the vip lounge of the business class? Thanks!,135,1130398111808073728,2019-05-20 09:01:26,Twitter for iPhone,0,0
